Mario bestellingen;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Let op! De vermelde prijzen zijn de prijzen ten tijde van de bestelling;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Winkelnaam;Klantnaam;TelefoonNr;Email;Adres;Woonplaats;Besteldatum;AfleverType;AfleverDatum;AfleverMoment;Product;PizzaBodem;PizzaSaus;Prijs;Bezorgkosten;Aantal;Extra IngrediÇ®nten;Prijs Extra IngrediÇ®nten;Regelprijs;Totaalprijs;Gebruikte Coupon;Coupon Korting;Te Betalen
Soest;Iza Barth;06-31604699;IzaBarth@cuvox.de;Aviatik 28;Soesterberg;zaterdag 20 juli 2019;Bezorgen;zaterdag 20 juli 2019;16:20;BBQ Chicken Hawaii;Medium Cheesy Crust Pizza;Barbecue Saus;ƒ?ª 6,95;ƒ?ª 2,00;2;;ƒ?ª 0,00;ƒ?ª 21,90;ƒ?ª 65,75;3e pizza gratis bij bezorgen;ƒ?ª 7,95;ƒ?ª 57,80
;;;;;;;;;;Creamy Bacon;Family XXL Pizza;Creme Fraiche;ƒ?ª 7,95;ƒ?ª 2,00;1;;ƒ?ª 0,00;ƒ?ª 14,95;;;;
;;;;;;;;;;BBQ Mixed Grill;Family XXL Pizza;Barbecue Saus;ƒ?ª 7,95;ƒ?ª 2,00;1;;ƒ?ª 0,00;ƒ?ª 14,95;;;;
;;;;;;;;;;Creamy Bacon;Large Pizza;Creme Fraiche;ƒ?ª 7,95;ƒ?ª 2,00;1;;ƒ?ª 0,00;ƒ?ª 13,95;;;;
;;;;;;;;;;;;;;;;;;;;;;
Eindhoven Gestel;Djairo Bazelmans;06-62926719;DjairoBazelmans@fleckens.hu;Herman Heyermanslaan 35;Eindhoven;woensdag 24 januari 2018;Bezorgen;woensdag 24 januari 2018;17:05;Four Cheese;Medium Pizza;Tomatensaus;ƒ?ª 7,95;ƒ?ª 2,00;2;;ƒ?ª 0,00;ƒ?ª 19,90;ƒ?ª 43,80;25% korting op je bestelling;ƒ?ª 10,95;ƒ?ª 32,85
;;;;;;;;;;Supreme;Italian Pizza;Barbecue Saus;ƒ?ª 7,95;ƒ?ª 2,00;1;;ƒ?ª 0,00;ƒ?ª 10,95;;;;
;;;;;;;;;;BBQ Chicken Hawaii;Large Pizza;Barbecue Saus;ƒ?ª 6,95;ƒ?ª 2,00;1;;ƒ?ª 0,00;ƒ?ª 12,95;;;;
;;;;;;;;;;;;;;;;;;;;;;
Berkel en Rodenrijs;Vito de Bruijne;06-95232870;VitodeBruijne@cuvox.de;Huijgenslaan 143;Berkel en Rodenrijs;donderdag 13 april 2017;Afhalen;donderdag 13 april 2017;19:17;Shoarma;Family XXL Pizza;Tomatensaus;ƒ?ª 7,95;;1;;ƒ?ª 0,00;ƒ?ª 12,95;ƒ?ª 99,60;;ƒ?ª 0,00;ƒ?ª 99,60
;;;;;;;;;;Supreme;Family XXL Pizza;Barbecue Saus;ƒ?ª 7,95;;2;;ƒ?ª 0,00;ƒ?ª 25,90;;;;
;;;;;;;;;;BBQ Mixed Grill;Large Pizza;Barbecue Saus;ƒ?ª 7,95;;4;;ƒ?ª 0,00;ƒ?ª 47,80;;;;
;;;;;;;;;;Tricolore;Large Pizza;Creme Fraiche;ƒ?ª 8,95;;1;;ƒ?ª 0,00;ƒ?ª 12,95;;;;
;;;;;;;;;;;;;;;;;;;;;;
Nieuwegein;Ebony Sollie;06-23056976;EbonySollie@cuvox.de;De Liesbosch 6;Nieuwegein;maandag 7 januari 2019;Bezorgen;maandag 7 januari 2019;18:08;Salame Speciale;Italian Pizza;Tomatensaus;ƒ?ª 6,95;ƒ?ª 2,00;2;Ham, Gorgonzola, Spinazie, Salami;ƒ?ª 4,00;ƒ?ª 27,90;ƒ?ª 169,45;2e pizza gratis bij afhalen;ƒ?ª 0,00;ƒ?ª 169,45
;;;;;;;;;;Tonno;Medium Cheesy Crust Pizza;Tomatensaus;ƒ?ª 6,95;ƒ?ª 2,00;1;Gorgonzola;ƒ?ª 1,00;ƒ?ª 11,95;;;;
;;;;;;;;;;Pollo Pomodore;Large Pizza;Tomatensaus;ƒ?ª 8,95;ƒ?ª 2,00;4;Groene Olijven, Basilicum, Rode Ui;ƒ?ª 2,50;ƒ?ª 69,80;;;;
;;;;;;;;;;BBQ Mixed Grill;Family XXL Pizza;Barbecue Saus;ƒ?ª 7,95;ƒ?ª 2,00;4;;ƒ?ª 0,00;ƒ?ª 59,80;;;;
;;;;;;;;;;;;;;;;;;;;;;
Den Haag Torenstraat;Emmelien Hogewoning;06-81061842;EmmelienHogewoning@cuvox.de;Stroyenborchdreef 102;Utrecht;zaterdag 15 juni 2019;Afhalen;zaterdag 15 juni 2019;16:27;BBQ Cannibale;Large Pizza;Barbecue Saus;ƒ?ª 4,95;;1;;ƒ?ª 0,00;ƒ?ª 8,95;ƒ?ª 34,85;;ƒ?ª 0,00;ƒ?ª 34,85
;;;;;;;;;;Shoarma;Family XXL Pizza;Tomatensaus;ƒ?ª 7,95;;2;;ƒ?ª 0,00;ƒ?ª 25,90;;;;
;;;;;;;;;;;;;;;;;;;;;;
Groningen Paddepoel;Joes van Staveren;06-62229204;JoesvanStaveren@jourrapide.com;Oosterstraat 48;Groningen;woensdag 25 december 2019;Afhalen;woensdag 25 december 2019;20:57;Tricolore;Medium Pizza;Creme Fraiche;ƒ?ª 8,95;;1;;ƒ?ª 0,00;ƒ?ª 8,95;ƒ?ª 44,80;;ƒ?ª 0,00;ƒ?ª 44,80
;;;;;;;;;;Hot & Spicy;Family XXL Pizza;Tomatensaus;ƒ?ª 6,95;;3;;ƒ?ª 0,00;ƒ?ª 35,85;;;;
;;;;;;;;;;;;;;;;;;;;;;
Leiden;Gerrit-Jan Ratering;06-26653563;Gerrit-JanRatering@fleckens.hu;Meermanshof 183;Leiden;vrijdag 14 september 2018;Afhalen;vrijdag 14 september 2018;17:09;Four Cheese;Medium Pizza;Tomatensaus;ƒ?ª 7,95;;1;;ƒ?ª 0,00;ƒ?ª 7,95;ƒ?ª 21,85;;ƒ?ª 0,00;ƒ?ª 21,85
;;;;;;;;;;Caprese;Medium Cheesy Crust Pizza;Tomatensaus;ƒ?ª 4,95;;2;;ƒ?ª 0,00;ƒ?ª 13,90;;;;
;;;;;;;;;;;;;;;;;;;;;;
Landgraaf;Anne-Loes Patty;06-78330396;Anne-LoesPatty@teleworm.us;Gateweiden 133;Landgraaf;woensdag 19 juni 2019;Afhalen;woensdag 19 juni 2019;18:31;Deluxe;Medium Cheesy Crust Pizza;Tomatensaus;ƒ?ª 6,95;;2;;ƒ?ª 0,00;ƒ?ª 17,90;ƒ?ª 42,75;;ƒ?ª 0,00;ƒ?ª 42,75
;;;;;;;;;;Perfect Pepperoni;Medium Pizza;Tomatensaus;ƒ?ª 4,95;;1;;ƒ?ª 0,00;ƒ?ª 4,95;;;;
;;;;;;;;;;BBQ Cannibale;Family XXL Pizza;Barbecue Saus;ƒ?ª 4,95;;2;;ƒ?ª 0,00;ƒ?ª 19,90;;;;
;;;;;;;;;;;;;;;;;;;;;;
Utrecht Marnixlaan;Cherina Frings;06-50565486;CherinaFrings@dayrep.com;Livingstonelaan 46;Utrecht;dinsdag 3 januari 2017;Bezorgen;dinsdag 3 januari 2017;18:53;Hot & Spicy;Medium Cheesy Crust Pizza;Tomatensaus;ƒ?ª 6,95;ƒ?ª 2,00;2;;ƒ?ª 0,00;ƒ?ª 21,90;ƒ?ª 69,70;ƒ?ª 2,- Korting op een bestelling vanaf ƒ?ª 25,-;ƒ?ª 2,00;ƒ?ª 67,70
;;;;;;;;;;Perfect Pepperoni;Family XXL Pizza;Tomatensaus;ƒ?ª 4,95;ƒ?ª 2,00;4;;ƒ?ª 0,00;ƒ?ª 47,80;;;;
;;;;;;;;;;;;;;;;;;;;;;
Rotterdam Mariniersweg;Arja Treurniet;06-10050046;ArjaTreurniet@jourrapide.com;Johan Huizingastraat 7;Rotterdam;zaterdag 27 april 2019;Bezorgen;zaterdag 27 april 2019;16:50;Supreme;Medium Cheesy Crust Pizza;Barbecue Saus;ƒ?ª 7,95;ƒ?ª 2,00;1;;ƒ?ª 0,00;ƒ?ª 11,95;ƒ?ª 67,75;ƒ?ª 2,- Korting op een bestelling vanaf ƒ?ª 25,-;ƒ?ª 2,00;ƒ?ª 65,75
