Mario bestellingen

Let op! De vermelde prijzen zijn de prijzen ten tijde van de bestelling

Winkelnaam;Klantnaam;TelefoonNr;Email;Adres;Woonplaats;Besteldatum;AfleverType;AfleverDatum;AfleverMoment;Product;PizzaBodem;PizzaSaus;Prijs;Aantal;Extra Ingrediënten;Prijs Extra Ingrediënten;Regelprijs;Totaalprijs;Gebruikte Coupon;Coupon Korting;Te Betalen
;;;;;;;;;;Salame Speciale;Italian Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 7,95;;;;
;;;;;;;;;;Deluxe;Large Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 10,95;;;;
;;;;;;;;;;Shoarma;Italian Pizza;Tomatensaus;€ 7,95;1;;€ 0,00;€ 8,95;;;;

Geleen;Mohamoud Quist;06-21572360;MohamoudQuist@jourrapide.com;Burgemeester Ramakersstraat 147;Munstergeleen;zondag 8 januari 2017;Afhalen;zondag 8 januari 2017;16:24;Creamy Bacon;Medium Cheesy Crust Pizza;Creme Fraiche;€ 7,95;1;;€ 0,00;€ 9,95;€ 20,85;;€ 0,00;€ 20,85
;;;;;;;;;;Perfect Pepperoni;Medium Pizza;Tomatensaus;€ 4,95;1;;€ 0,00;€ 4,95;;;;
;;;;;;;;;;Margaritha;Italian Pizza;Tomatensaus;€ 4,95;1;;€ 0,00;€ 5,95;;;;

Amsterdam Ceintuurbaan;Haris van der Straten;06-15078362;HarisvanderStraten@jourrapide.com;Masthof 140;Amsterdam;donderdag 29 november 2018;Bezorgen;donderdag 29 november 2018;16:22;Hot & Spicy;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 8,95;€ 42,75;€ 2,- Korting op een bestelling vanaf € 25,-;€ 2,00;€ 40,75
;;;;;;;;;;Salame Speciale;Medium Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 13,90;;;;
;;;;;;;;;;Beenham;Large Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 10,95;;;;
;;;;;;;;;;Hawaii;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 8,95;;;;

Leidschendam;Navin de Graaf;06-94937775;NavindeGraaf@rhyta.com;Van Pabstlaan 100;Voorburg;woensdag 12 juni 2019;Bezorgen;woensdag 12 juni 2019;18:29;BBQ Mixed Grill;Large Pizza;Barbecue Saus;€ 7,95;1;;€ 0,00;€ 11,95;€ 11,95;;€ 0,00;€ 11,95

Roosendaal;Hikmet Ambachtsheer;06-43269733;HikmetAmbachtsheer@fleckens.hu;Flamingostraat 72;Nispen;zaterdag 1 juli 2017;Bezorgen;zaterdag 1 juli 2017;20:57;Extravaganzza;Large Pizza;Tomatensaus;€ 7,95;1;;€ 0,00;€ 11,95;€ 28,85;25% korting op je bestelling;€ 7,21;€ 21,64
;;;;;;;;;;Funghi;Italian Pizza;Tomatensaus;€ 4,95;1;;€ 0,00;€ 5,95;;;;
;;;;;;;;;;Hot & Spicy;Large Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 10,95;;;;

Zeist;Erick Lub;06-39346135;ErickLub@rhyta.com;Zamenhoflaan 92;Zeist;zondag 8 september 2019;Afhalen;zondag 8 september 2019;17:56;Four Cheese;Family XXL Pizza;Tomatensaus;€ 7,95;1;;€ 0,00;€ 12,95;€ 60,75;2e pizza gratis bij afhalen;€ 7,95;€ 52,80
;;;;;;;;;;Supreme;Large Pizza;Barbecue Saus;€ 7,95;4;;€ 0,00;€ 47,80;;;;

Den Bosch Empel;Willempje Exalto;06-91122908;WillempjeExalto@armyspy.com;Torenstraat 49;Rosmalen;dinsdag 30 januari 2018;Bezorgen;dinsdag 30 januari 2018;18:20;Supreme;Italian Pizza;Barbecue Saus;€ 7,95;2;;€ 0,00;€ 17,90;€ 30,85;;€ 0,00;€ 30,85
;;;;;;;;;;Chicken Kebab;Italian Pizza;Tomatensaus;€ 7,95;1;Bacon, Paprikamix, Gorgonzola, Bacon;€ 4,00;€ 12,95;;;;

Goes;Anne-Fleur Kaptein;06-94649448;Anne-FleurKaptein@einrot.com;Walstraat 188;s-Heer-Arendskerke;woensdag 11 april 2018;Afhalen;woensdag 11 april 2018;19:39;Salame Speciale;Family XXL Pizza;Tomatensaus;€ 6,95;4;;€ 0,00;€ 47,80;€ 74,65;;€ 0,00;€ 74,65
;;;;;;;;;;BBQ Cannibale;Large Pizza;Barbecue Saus;€ 4,95;2;;€ 0,00;€ 17,90;;;;
;;;;;;;;;;Bacon Gorgonzola;Medium Pizza;Tomatensaus;€ 8,95;1;;€ 0,00;€ 8,95;;;;

Amsterdam Overtoom;Jurg Linders;06-78818241;JurgLinders@jourrapide.com;Daveren 169;Amsterdam;zondag 6 mei 2018;Afhalen;zondag 6 mei 2018;20:59;BBQ Chicken Hawaii;Medium Pizza;Barbecue Saus;€ 6,95;4;;€ 0,00;€ 27,80;€ 103,60;2e pizza gratis bij afhalen;€ 8,95;€ 94,65
;;;;;;;;;;Bacon Gorgonzola;Family XXL Pizza;Tomatensaus;€ 8,95;4;Spaanse Pepers, Kip, Chicken Kebab, Salami;€ 5,00;€ 75,80;;;;

Middelburg;Oğulcan Bogert;06-76986779;OgulcanBogert@superrito.com;Meanderhof 148;Middelburg;dinsdag 27 augustus 2019;Bezorgen;dinsdag 27 augustus 2019;17:03;Creamy Bacon;Family XXL Pizza;Creme Fraiche;€ 7,95;1;;€ 0,00;€ 12,95;€ 12,95;;€ 0,00;€ 12,95

Almere Buiten;Pieternella Kesteloo;06-17839407;PieternellaKesteloo@cuvox.de;Marterstraat 121;Almere;zondag 28 oktober 2018;Afhalen;zondag 28 oktober 2018;16:38;Tonno;Medium Pizza;Tomatensaus;€ 6,95;4;;€ 0,00;€ 27,80;€ 27,80;;€ 0,00;€ 27,80

Rijswijk;Henk Damhuis;06-81653558;HenkDamhuis@gustr.com;Van Vredenburchweg 38;Rijswijk;zaterdag 6 april 2019;Afhalen;zaterdag 6 april 2019;16:52;Hot & Spicy;Italian Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 7,95;€ 68,65;;€ 0,00;€ 68,65
;;;;;;;;;;Chicken Kebab;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;4;;€ 0,00;€ 39,80;;;;
;;;;;;;;;;Beenham;Family XXL Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 11,95;;;;
;;;;;;;;;;Veggi;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 8,95;;;;

Zoetermeer;Alisha Oosterom;06-73099583;AlishaOosterom@gustr.com;Bijvoetplan 109;Zoetermeer;woensdag 20 september 2017;Bezorgen;woensdag 20 september 2017;16:07;Extravaganzza;Medium Pizza;Tomatensaus;€ 7,95;1;Pepperoni;€ 1,00;€ 8,95;€ 8,95;;€ 0,00;€ 8,95

Velp;Birsen Noort;06-16600269;BirsenNoort@teleworm.us;De Passaazje 77;Burgum;zaterdag 17 maart 2018;Bezorgen;zaterdag 17 maart 2018;20:45;Shoarma;Italian Pizza;Tomatensaus;€ 7,95;2;;€ 0,00;€ 17,90;€ 63,70;;€ 0,00;€ 63,70
;;;;;;;;;;BBQ Cannibale;Medium Cheesy Crust Pizza;Barbecue Saus;€ 4,95;1;;€ 0,00;€ 6,95;;;;
;;;;;;;;;;Four Cheese;Family XXL Pizza;Tomatensaus;€ 7,95;1;;€ 0,00;€ 12,95;;;;
;;;;;;;;;;Extravaganzza;Family XXL Pizza;Tomatensaus;€ 7,95;2;;€ 0,00;€ 25,90;;;;

Drachten;Corwin Mangal;06-37640440;CorwinMangal@dayrep.com;Istanbulstraat 10;IJsselstein;maandag 8 oktober 2018;Afhalen;maandag 8 oktober 2018;20:18;Four Cheese;Italian Pizza;Tomatensaus;€ 7,95;1;;€ 0,00;€ 8,95;€ 20,90;;€ 0,00;€ 20,90
;;;;;;;;;;BBQ Chicken Hawaii;Family XXL Pizza;Barbecue Saus;€ 6,95;1;;€ 0,00;€ 11,95;;;;

Lelystad;Sultan Walther;06-11474959;SultanWalther@einrot.com;Hollandse Hout 126;Lelystad;donderdag 21 december 2017;Bezorgen;donderdag 21 december 2017;19:53;Bacon Gorgonzola;Family XXL Pizza;Tomatensaus;€ 8,95;1;;€ 0,00;€ 13,95;€ 29,85;2e pizza gratis bij afhalen;€ 0,00;€ 29,85
;;;;;;;;;;Shoarma;Medium Pizza;Tomatensaus;€ 7,95;2;;€ 0,00;€ 15,90;;;;

Hilversum;Cyrano den Oudsten;06-70267760;CyranodenOudsten@teleworm.us;Van Almondelaan 24;Hilversum;dinsdag 19 september 2017;Bezorgen;dinsdag 19 september 2017;18:49;Shoarma;Italian Pizza;Tomatensaus;€ 7,95;1;;€ 0,00;€ 8,95;€ 69,60;25% korting op je bestelling;€ 17,40;€ 52,20
;;;;;;;;;;Americana;Medium Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 13,90;;;;
;;;;;;;;;;Deluxe;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;4;;€ 0,00;€ 35,80;;;;
;;;;;;;;;;Salame Speciale;Large Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 10,95;;;;

Hoofddorp;Esperanza Nouwen;06-24846347;EsperanzaNouwen@teleworm.us;Kokosstraat 95;Genemuiden;zondag 24 februari 2019;Bezorgen;zondag 24 februari 2019;19:36;Margaritha;Large Pizza;Tomatensaus;€ 4,95;2;;€ 0,00;€ 17,90;€ 33,80;2e pizza gratis bij afhalen;€ 0,00;€ 33,80
;;;;;;;;;;Chicken Supreme;Italian Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 15,90;;;;

Ridderkerk;Marijne Snoeren;06-12327048;MarijneSnoeren@gustr.com;Koolmees 82;Ridderkerk;dinsdag 20 februari 2018;Bezorgen;dinsdag 20 februari 2018;20:18;Extravaganzza;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;2;;€ 0,00;€ 19,90;€ 19,90;;€ 0,00;€ 19,90

Amsterdam Overtoom;Sylvain Mul;06-25026640;SylvainMul@rhyta.com;Kikkenstein 142;Amsterdam-Zuidoost;zaterdag 25 mei 2019;Afhalen;zaterdag 25 mei 2019;19:00;BBQ Chicken Hawaii;Italian Pizza;Barbecue Saus;€ 6,95;2;Gorgonzola, Paprikamix, Chicken Kebab, Beenham;€ 5,50;€ 26,90;€ 26,90;;€ 0,00;€ 26,90

Haarlem Zuid;Maickel Niessen;06-74391910;MaickelNiessen@einrot.com;Jo Sterckstraat 123;Haarlem;woensdag 9 januari 2019;Bezorgen;woensdag 9 januari 2019;17:33;Deluxe;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 8,95;€ 88,60;3e pizza gratis bij bezorgen;€ 7,95;€ 80,65
;;;;;;;;;;Hawaii;Family XXL Pizza;Tomatensaus;€ 6,95;4;;€ 0,00;€ 47,80;;;;
;;;;;;;;;;Extravaganzza;Medium Cheesy Crust Pizza;Tomatensaus;€ 7,95;2;;€ 0,00;€ 19,90;;;;
;;;;;;;;;;Americana;Family XXL Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 11,95;;;;

Tilburg Thomas van Aquinostraat;Meinte Korte;06-23836904;MeinteKorte@teleworm.us;Wilhelminapark 192;Tilburg;zaterdag 23 december 2017;Afhalen;zaterdag 23 december 2017;16:51;Tricolore;Large Pizza;Creme Fraiche;€ 8,95;1;;€ 0,00;€ 12,95;€ 34,80;;€ 0,00;€ 34,80
;;;;;;;;;;Funghi;Italian Pizza;Tomatensaus;€ 4,95;2;;€ 0,00;€ 11,90;;;;
;;;;;;;;;;Caprese;Family XXL Pizza;Tomatensaus;€ 4,95;1;;€ 0,00;€ 9,95;;;;

Oud Beijerland;Jamie-Lee Eversdijk;06-76514948;Jamie-LeeEversdijk@einrot.com;Anemoonstraat 72;Oud-Beijerland;maandag 14 mei 2018;Afhalen;maandag 14 mei 2018;20:39;Hawaii;Family XXL Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 11,95;€ 88,65;;€ 0,00;€ 88,65
;;;;;;;;;;Supreme;Medium Pizza;Barbecue Saus;€ 7,95;1;;€ 0,00;€ 7,95;;;;
;;;;;;;;;;Tricolore;Large Pizza;Creme Fraiche;€ 8,95;1;;€ 0,00;€ 12,95;;;;
;;;;;;;;;;Pollo Pomodore;Italian Pizza;Tomatensaus;€ 8,95;4;Kip, Bacon, Merguez, Kip;€ 4,00;€ 55,80;;;;

Hoofddorp;Naz Hartjes;06-85681619;NazHartjes@superrito.com;Heerlerbaan 142;Heerlen;woensdag 28 november 2018;Bezorgen;woensdag 28 november 2018;18:25;Bacon Gorgonzola;Medium Pizza;Tomatensaus;€ 8,95;2;Knoflooksaus Swirl, Basilicum;€ 1,00;€ 19,90;€ 46,75;;€ 0,00;€ 46,75
;;;;;;;;;;Hot & Spicy;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 17,90;;;;
;;;;;;;;;;Perfect Pepperoni;Large Pizza;Tomatensaus;€ 4,95;1;;€ 0,00;€ 8,95;;;;

Soest;Lotfi Abdalla;06-97423893;LotfiAbdalla@rhyta.com;Hartmanlaan 88;Soest;dinsdag 11 april 2017;Bezorgen;dinsdag 11 april 2017;16:10;Perfect Pepperoni;Family XXL Pizza;Tomatensaus;€ 4,95;2;;€ 0,00;€ 19,90;€ 19,90;;€ 0,00;€ 19,90

Woerden;Christi Rauwerda;06-81186008;ChristiRauwerda@armyspy.com;Meerkoet 147;Harmelen;donderdag 30 augustus 2018;Afhalen;donderdag 30 augustus 2018;16:28;Pollo Pomodore;Medium Cheesy Crust Pizza;Tomatensaus;€ 8,95;1;;€ 0,00;€ 10,95;€ 82,60;;€ 0,00;€ 82,60
;;;;;;;;;;Creamy Bacon;Large Pizza;Creme Fraiche;€ 7,95;1;;€ 0,00;€ 11,95;;;;
;;;;;;;;;;Tricolore;Medium Pizza;Creme Fraiche;€ 8,95;4;;€ 0,00;€ 35,80;;;;
;;;;;;;;;;Supreme;Large Pizza;Barbecue Saus;€ 7,95;2;;€ 0,00;€ 23,90;;;;

Leiderdorp;Sancho Ettema;06-13049954;SanchoEttema@rhyta.com;Lisdoddekreek 134;Leiderdorp;woensdag 3 april 2019;Bezorgen;woensdag 3 april 2019;19:37;Veggi;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 17,90;€ 17,90;;€ 0,00;€ 17,90

Hengelo;Mirco Akker;06-71121582;MircoAkker@einrot.com;Julianalaan 62;Hengelo;dinsdag 12 november 2019;Afhalen;dinsdag 12 november 2019;16:38;BBQ Cannibale;Family XXL Pizza;Barbecue Saus;€ 4,95;2;;€ 0,00;€ 19,90;€ 58,70;;€ 0,00;€ 58,70
;;;;;;;;;;Hawaii;Family XXL Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 11,95;;;;
;;;;;;;;;;Beenham;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Chicken Kebab;Italian Pizza;Tomatensaus;€ 7,95;2;;€ 0,00;€ 17,90;;;;

Maarssen;Hamdi Limmen;06-19603041;HamdiLimmen@cuvox.de;Bisonspoor 47;Maarssen;donderdag 24 mei 2018;Bezorgen;donderdag 24 mei 2018;16:42;BBQ Cannibale;Medium Cheesy Crust Pizza;Barbecue Saus;€ 4,95;1;;€ 0,00;€ 6,95;€ 20,85;2e pizza gratis bij afhalen;€ 0,00;€ 20,85
;;;;;;;;;;Tonno;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Perfect Pepperoni;Medium Pizza;Tomatensaus;€ 4,95;1;;€ 0,00;€ 4,95;;;;

Voorschoten;Asmaa Blokland;06-86066057;AsmaaBlokland@superrito.com;Narcisstraat 128;Voorschoten;zaterdag 28 april 2018;Afhalen;zaterdag 28 april 2018;16:50;BBQ Mixed Grill;Family XXL Pizza;Barbecue Saus;€ 7,95;1;;€ 0,00;€ 12,95;€ 30,85;;€ 0,00;€ 30,85
;;;;;;;;;;Deluxe;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 17,90;;;;

Helmond;Boudewijn Klopman;06-20598552;BoudewijnKlopman@superrito.com;Sneeuwheide 60;Helmond;woensdag 4 januari 2017;Bezorgen;woensdag 4 januari 2017;17:38;Supreme;Large Pizza;Barbecue Saus;€ 7,95;1;;€ 0,00;€ 11,95;€ 51,75;;€ 0,00;€ 51,75
;;;;;;;;;;Supreme;Medium Cheesy Crust Pizza;Barbecue Saus;€ 7,95;4;;€ 0,00;€ 39,80;;;;

Lelystad;Alpha Middelkoop;06-97234229;AlphaMiddelkoop@armyspy.com;Bastion 119;Lelystad;donderdag 23 maart 2017;Afhalen;donderdag 23 maart 2017;19:42;Chicken Supreme;Large Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 10,95;€ 24,40;€ 2,- Korting op een bestelling vanaf € 25,-;€ 0,00;€ 24,40
;;;;;;;;;;Four Cheese;Italian Pizza;Tomatensaus;€ 7,95;1;Chorizo, Tonijn, Kaas, Geitenkaas;€ 4,50;€ 13,45;;;;

Oss;Annemijn de Backer;06-51545032;AnnemijndeBacker@einrot.com;Van Sonsbeeckstraat 173;Oss;zaterdag 1 september 2018;Bezorgen;zaterdag 1 september 2018;17:24;BBQ Cannibale;Large Pizza;Barbecue Saus;€ 4,95;1;;€ 0,00;€ 8,95;€ 8,95;;€ 0,00;€ 8,95

Nieuwegein;Charlaine Bayrak;06-81622100;CharlaineBayrak@rhyta.com;Ferdinand Bolhage 188;Nieuwegein;zondag 7 juli 2019;Afhalen;zondag 7 juli 2019;20:14;Margaritha;Medium Pizza;Tomatensaus;€ 4,95;1;;€ 0,00;€ 4,95;€ 4,95;25% korting op je bestelling;€ 1,24;€ 3,71

Landgraaf;Pip Mollink;06-43489917;PipMollink@superrito.com;Marijkestraat 32;Landgraaf;dinsdag 21 november 2017;Afhalen;dinsdag 21 november 2017;16:35;Funghi;Family XXL Pizza;Tomatensaus;€ 4,95;4;Shoarma, Honing Mosterdsaus, Gehakt;€ 3,00;€ 51,80;€ 51,80;;€ 0,00;€ 51,80

Tiel;Pieter-Jan Scheper;06-51034621;Pieter-JanScheper@einrot.com;Mathilde Wibautstraat 15;Tiel;woensdag 23 januari 2019;Afhalen;woensdag 23 januari 2019;17:55;Bacon Gorgonzola;Family XXL Pizza;Tomatensaus;€ 8,95;2;;€ 0,00;€ 27,90;€ 63,70;25% korting op je bestelling;€ 15,93;€ 47,78
;;;;;;;;;;Beenham;Medium Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 6,95;;;;
;;;;;;;;;;Deluxe;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Creamy Bacon;Medium Cheesy Crust Pizza;Creme Fraiche;€ 7,95;2;;€ 0,00;€ 19,90;;;;

Roermond;Neda Schellens;06-15150352;NedaSchellens@fleckens.hu;Alexander Idenburgstraat 90;Roermond;vrijdag 19 april 2019;Bezorgen;vrijdag 19 april 2019;20:01;Pollo Pomodore;Medium Cheesy Crust Pizza;Tomatensaus;€ 8,95;4;;€ 0,00;€ 43,80;€ 50,75;3e pizza gratis bij bezorgen;€ 0,00;€ 50,75
;;;;;;;;;;Chicken Supreme;Medium Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 6,95;;;;

Veghel;Joey Wijnbergen;06-25597611;JoeyWijnbergen@einrot.com;Lambertushof 56;Veghel;zondag 29 december 2019;Afhalen;zondag 29 december 2019;17:24;Americana;Family XXL Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 11,95;€ 49,75;;€ 0,00;€ 49,75
;;;;;;;;;;Supreme;Medium Pizza;Barbecue Saus;€ 7,95;2;;€ 0,00;€ 15,90;;;;
;;;;;;;;;;Extravaganzza;Family XXL Pizza;Tomatensaus;€ 7,95;1;;€ 0,00;€ 12,95;;;;
;;;;;;;;;;Salame Speciale;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 8,95;;;;

Brunssum;Jelmer Mies;06-25864719;JelmerMies@fleckens.hu;Kloosterstraat 107;Brunssum;donderdag 1 februari 2018;Afhalen;donderdag 1 februari 2018;18:29;Funghi;Large Pizza;Tomatensaus;€ 4,95;2;;€ 0,00;€ 17,90;€ 17,90;2e pizza gratis bij afhalen;€ 0,00;€ 17,90

Arnhem;Thyra Kossen;06-76266627;ThyraKossen@fleckens.hu;Oude Bongerd 19;Arnhem;zaterdag 4 mei 2019;Afhalen;zaterdag 4 mei 2019;20:28;Tonno;Italian Pizza;Tomatensaus;€ 6,95;1;Groene Olijven;€ 1,00;€ 8,95;€ 8,95;;€ 0,00;€ 8,95

Almelo;Steffan Klein;06-17736296;SteffanKlein@superrito.com;Frerikshuislaan 80;Almelo;dinsdag 24 oktober 2017;Afhalen;dinsdag 24 oktober 2017;19:31;Hawaii;Medium Pizza;Tomatensaus;€ 6,95;2;Merguez, Kip;€ 2,00;€ 17,90;€ 17,90;2e pizza gratis bij afhalen;€ 0,00;€ 17,90

AC Sevenum;Amke Akse;06-83264177;AmkeAkse@fleckens.hu;Driekooienweg 48;Evertsoord;woensdag 25 oktober 2017;Bezorgen;woensdag 25 oktober 2017;16:23;BBQ Mixed Grill;Medium Cheesy Crust Pizza;Barbecue Saus;€ 7,95;1;;€ 0,00;€ 9,95;€ 20,90;25% korting op je bestelling;€ 5,23;€ 15,68
;;;;;;;;;;Hawaii;Large Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 10,95;;;;

Ede;Udo Buijsman;06-60362892;UdoBuijsman@dayrep.com;Quarles van Uffordlaan 69;Bennekom;woensdag 2 augustus 2017;Afhalen;woensdag 2 augustus 2017;17:18;Creamy Bacon;Italian Pizza;Creme Fraiche;€ 7,95;2;Merguez, Kaasmix;€ 2,50;€ 22,90;€ 22,90;;€ 0,00;€ 22,90

Terneuzen;Oskar Russchen;06-44011059;OskarRusschen@fleckens.hu;Matthijsstraat 31;Koewacht;maandag 7 mei 2018;Bezorgen;maandag 7 mei 2018;18:48;BBQ Mixed Grill;Italian Pizza;Barbecue Saus;€ 7,95;1;;€ 0,00;€ 8,95;€ 71,60;;€ 0,00;€ 71,60
;;;;;;;;;;Deluxe;Italian Pizza;Tomatensaus;€ 6,95;4;Kaasmix;€ 1,50;€ 37,80;;;;
;;;;;;;;;;Creamy Bacon;Italian Pizza;Creme Fraiche;€ 7,95;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Hot & Spicy;Italian Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 15,90;;;;

Oosterhout;Zoran Hogeveen;06-18040573;ZoranHogeveen@einrot.com;Groenendijk 169;Oosteind;zondag 1 april 2018;Bezorgen;zondag 1 april 2018;18:30;Extravaganzza;Medium Pizza;Tomatensaus;€ 7,95;4;;€ 0,00;€ 31,80;€ 68,60;2e pizza gratis bij afhalen;€ 0,00;€ 68,60
;;;;;;;;;;BBQ Mixed Grill;Italian Pizza;Barbecue Saus;€ 7,95;1;;€ 0,00;€ 8,95;;;;
;;;;;;;;;;Supreme;Medium Cheesy Crust Pizza;Barbecue Saus;€ 7,95;1;;€ 0,00;€ 9,95;;;;
;;;;;;;;;;Salame Speciale;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 17,90;;;;

Woerden;Merijn Lambers;06-60397635;MerijnLambers@gustr.com;Singel 149;Woerden;zaterdag 8 september 2018;Afhalen;zaterdag 8 september 2018;20:15;Supreme;Family XXL Pizza;Barbecue Saus;€ 7,95;1;;€ 0,00;€ 12,95;€ 12,95;;€ 0,00;€ 12,95

De Meern;Yaşar Langereis;06-88644794;YasarLangereis@cuvox.de;Churchilllaan 89;Amsterdam;maandag 1 april 2019;Bezorgen;maandag 1 april 2019;17:54;Hawaii;Large Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 21,90;€ 43,80;;€ 0,00;€ 43,80
;;;;;;;;;;Chicken Supreme;Large Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 21,90;;;;

Geldrop;Maudi Tienstra;06-70474278;MaudiTienstra@fleckens.hu;Bogardeind 127;Geldrop;zondag 22 oktober 2017;Afhalen;zondag 22 oktober 2017;17:20;Hot & Spicy;Large Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 10,95;€ 28,85;;€ 0,00;€ 28,85
;;;;;;;;;;Tricolore;Medium Pizza;Creme Fraiche;€ 8,95;2;;€ 0,00;€ 17,90;;;;

Wageningen;Madelène Haaksma;06-55575885;MadeleneHaaksma@gustr.com;Bergstraat 192;Wageningen;vrijdag 2 maart 2018;Afhalen;vrijdag 2 maart 2018;19:16;BBQ Mixed Grill;Family XXL Pizza;Barbecue Saus;€ 7,95;2;;€ 0,00;€ 25,90;€ 25,90;;€ 0,00;€ 25,90

Groningen Paterswoldseweg;Jildau den Dulk;06-47079126;JildaudenDulk@teleworm.us;Onderduikersstraat 158;Groningen;zaterdag 12 augustus 2017;Afhalen;zaterdag 12 augustus 2017;19:39;Beenham;Medium Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 13,90;€ 22,85;€ 2,- Korting op een bestelling vanaf € 25,-;€ 0,00;€ 22,85
;;;;;;;;;;Salame Speciale;Medium Cheesy Crust Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 8,95;;;;

Vlaardingen;Dorcas Koolmees;06-47971831;DorcasKoolmees@jourrapide.com;Vierde Industriestraat 58;Vlaardingen;dinsdag 3 juli 2018;Afhalen;dinsdag 3 juli 2018;20:02;Chicken Kebab;Medium Pizza;Tomatensaus;€ 7,95;2;;€ 0,00;€ 15,90;€ 79,55;25% korting op je bestelling;€ 19,89;€ 59,66
;;;;;;;;;;Americana;Family XXL Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 11,95;;;;
;;;;;;;;;;Veggi;Italian Pizza;Tomatensaus;€ 6,95;2;;€ 0,00;€ 15,90;;;;
;;;;;;;;;;Caprese;Large Pizza;Tomatensaus;€ 4,95;4;;€ 0,00;€ 35,80;;;;

Veldhoven;Gerharda Schaefer;06-32343528;GerhardaSchaefer@fleckens.hu;Heibergsedijk 135;Veldhoven;vrijdag 6 december 2019;Afhalen;vrijdag 6 december 2019;16:56;Caprese;Medium Pizza;Tomatensaus;€ 4,95;2;;€ 0,00;€ 9,90;€ 15,85;3e pizza gratis bij bezorgen;€ 0,00;€ 15,85
;;;;;;;;;;BBQ Cannibale;Italian Pizza;Barbecue Saus;€ 4,95;1;;€ 0,00;€ 5,95;;;;

Heerhugowaard;Gracia Barendregt;06-41355133;GraciaBarendregt@teleworm.us;Rembrandtstraat 178;Heerhugowaard;donderdag 12 december 2019;Bezorgen;donderdag 12 december 2019;17:37;Four Cheese;Italian Pizza;Tomatensaus;€ 7,95;1;;€ 0,00;€ 8,95;€ 59,70;3e pizza gratis bij bezorgen;€ 6,95;€ 52,75
;;;;;;;;;;Four Cheese;Italian Pizza;Tomatensaus;€ 7,95;2;;€ 0,00;€ 17,90;;;;
;;;;;;;;;;Americana;Italian Pizza;Tomatensaus;€ 6,95;1;;€ 0,00;€ 7,95;;;;
;;;;;;;;;;Four Cheese;Italian Pizza;Tomatensaus;€ 7,95;2;Gorgonzola, Gehakt, Beenham;€ 3,50;€ 24,90;;;;

